state_0,state_1,state_2,state_3,action_count,next_state_0,next_state_1,next_state_2,next_state_3,rewards
0.02662123,-0.010114737,-0.03872282,-0.019439714,0,0.026418936,-0.20466058,-0.039111614,0.26077864,1
0.026418936,-0.20466058,-0.039111614,0.26077864,1,0.022325724,-0.009002767,-0.03389604,-0.043979526,1
0.022325724,-0.009002767,-0.03389604,-0.043979526,0,0.022145668,-0.20362268,-0.034775633,0.23781912,1
0.022145668,-0.20362268,-0.034775633,0.23781912,1,0.018073214,-0.008021617,-0.03001925,-0.065627046,1
0.018073214,-0.008021617,-0.03001925,-0.065627046,0,0.017912783,-0.2027006,-0.031331792,0.21743552,1
0.017912783,-0.2027006,-0.031331792,0.21743552,1,0.01385877,-0.007145087,-0.02698308,-0.08496381,1
0.01385877,-0.007145087,-0.02698308,-0.08496381,0,0.013715869,-0.20187007,-0.028682357,0.19908527,1
0.013715869,-0.20187007,-0.028682357,0.19908527,1,0.009678467,-0.0063498705,-0.024700651,-0.102505855,1
0.009678467,-0.0063498705,-0.024700651,-0.102505855,0,0.009551469,-0.20110928,-0.02675077,0.1822829,1
0.009551469,-0.20110928,-0.02675077,0.1822829,1,0.005529284,-0.00561497,-0.023105111,-0.11871745,1
0.005529284,-0.00561497,-0.023105111,-0.11871745,0,0.0054169847,-0.20039839,-0.02547946,0.1665874,1
0.0054169847,-0.20039839,-0.02547946,0.1665874,1,0.0014090168,-0.004921156,-0.022147711,-0.13402343,1
0.0014090168,-0.004921156,-0.022147711,-0.13402343,0,0.0013105937,-0.19971898,-0.02482818,0.15159075,1
0.0013105937,-0.19971898,-0.02482818,0.15159075,1,-0.0026837857,-0.004250472,-0.021796366,-0.14882039,1
-0.0026837857,-0.004250472,-0.021796366,-0.14882039,0,-0.0027687952,-0.19905363,-0.024772773,0.13690732,1
-0.0027687952,-0.19905363,-0.024772773,0.13690732,1,-0.006749868,-0.0035857756,-0.022034626,-0.16348694,1
-0.006749868,-0.0035857756,-0.022034626,-0.16348694,0,-0.0068215835,-0.19838548,-0.025304366,0.12216402,1
-0.0068215835,-0.19838548,-0.025304366,0.12216402,1,-0.010789293,-0.0029103023,-0.022861086,-0.17839357,1
-0.010789293,-0.0029103023,-0.022861086,-0.17839357,0,-0.010847499,-0.19769777,-0.026428957,0.10699071,1
-0.010847499,-0.19769777,-0.026428957,0.10699071,1,-0.014801455,-0.002207248,-0.024289142,-0.19391187,1
-0.014801455,-0.002207248,-0.024289142,-0.19391187,0,-0.014845599,-0.19697347,-0.02816738,0.091010995,1
-0.014845599,-0.19697347,-0.02816738,0.091010995,1,-0.018785069,-0.0014593551,-0.02634716,-0.21042398,1
-0.018785069,-0.0014593551,-0.02634716,-0.21042398,0,-0.018814256,-0.19619487,-0.03055564,0.07383276,1
-0.018814256,-0.19619487,-0.03055564,0.07383276,1,-0.022738153,-0.0006484995,-0.029078985,-0.22833185,1
